conversation_id,user_id,started_at
101,2a9b7f1d-9df5-431e-97f1-bc5b5b8133da,2024-09-15 12:25:00
102,6b9d8b8a-2e36-4e66-b722-8d04219fdf1f,2024-10-01 18:25:00
103,f9c812fa-8705-4c1a-98f3-66f1eebad3db,2024-10-18 18:25:00
104,4b6c4f3e-9d91-43d2-b7b1-34b6f51f9943,2024-11-01 18:25:00
105,e90f35b2-3b89-4725-bf2f-8bbfdde875d3,2024-11-10 18:25:00
106,8329f11a-8e2a-4853-b08f-2f1ad1e429f2,2024-09-22 18:25:00
107,cba77fe8-bbe2-4687-9e4a-d2a69f0c7d97,2024-08-01 18:25:00
108,a439c458-57a7-4f35-bc93-1a42b88e69da,2024-09-25 18:25:00
109,8329f11a-8e2a-4853-b08f-2f1ad1e429f2,2024-09-25 18:25:00
110,1f2e2d34-4bcd-4c4e-b41d-1265bc51e89f,2024-08-15 18:25:00
111,a11c89db-6b29-40a0-b12a-084497c2498b,2024-09-11 18:25:00
112,88c67e88-0861-4092-8bdf-3b7d73a6a223,2024-09-02 18:25:00
113,c24e8392-1ad7-477f-ae27-b2a02f9e9456,2024-10-14 18:25:00
114,957b5c3f-6fc7-4cf6-bbde-2a93f21227c3,2024-08-30 18:25:00
115,ee62749e-bf6c-4513-9a2b-fb1c5a9d7600,2024-10-05 09:50:00
116,ab2d859f-1770-4c51-9ecb-84297d09fc37,2024-09-03 09:50:00
117,c61e99d0-e10a-4f42-9ad6-c7e849a10e87,2024-10-23 19:50:00
118,41aeaf5e-1596-4ea2-bb8e-bdb11f474f01,2024-09-18 09:50:00
119,6cf82690-ada5-4d3d-9dbb-4fa1acb93a06,2024-08-14 09:50:00
120,b1c1dbff-8e87-4132-850f-e99e536f1d59,2024-10-11 09:50:00
121,bcf26f31-85b5-42fa-b498-bb15ab5a6a78,2024-09-19 09:50:00
122,b6fa6c1c-55ca-4c5d-a8f1-bcd771f3c7db,2024-09-30 09:50:00
123,f3e0ddef-8c25-4cf9-bb9e-c3c2e8452563,2024-08-20 09:50:00
124,23e9c4a9-b8a3-4f71-bbb0-33a2785d9c26,2024-09-13 09:50:00
125,7fc8f8fc-cbc8-4046-b4c7-c42935a82e5b,2024-09-28 17:10:00
126,45d07bde-7764-48ff-a16d-5e4e560f5d85,2024-10-06 14:40:00
127,fbdb2920-eae5-4ac7-9f7d-0865c3952b7c,2024-09-08 11:15:00
128,2f4bdf5b-ef04-4f99-b54b-e828b34380c9,2024-10-19 18:20:00
129,8c53938a-d7b2-4025-96c0-b23a979d538d,2024-09-14 09:50:00
130,b0cf4c38-dc13-4048-b6d5-f19acb34520c,2024-09-26 10:05:00
131,c0fa9a7a-c9a7-4a21-8fc5-5e92a399d6a9,2024-09-12 16:40:00
132,d33b5414-97a0-48c0-975e-d2647f1e935f,2024-08-17 13:55:00
133,613c4573-73f0-4a49-b8c6-d60fe8a2b185,2024-08-10 09:25:00
134,23c12fc3-b64b-44b8-b3cf-5a52ad60b872,2024-10-25 10:35:00
135,d99be93a-5050-40f8-a7a9-fb62b0d89bba,2024-08-24 14:15:00
136,2f79d2b4-e582-488f-b36b-35fa13187755,2024-09-10 11:35:00
137,4cd3c6f3-4f2a-4a52-b271-42c4f920d1f2,2024-10-17 13:45:00
138,1ac0b5ad-b62f-4fcf-a299-923c9ea9683a,2024-09-09 12:55:00
139,90a88d01-3155-48d2-9d3e-cf7bfa3180ba,2024-10-27 08:10:00
